ID	symbol	SAM24462135_NXG20262625	SAM24462136_NXG20262628	SAM24462137_NXG20262623	SAM24462138_NXG20262621	SAM24462139_NXG20262630	SAM24462140_NXG20262624	SAM24462141_NXG20262622	SAM24462142_NXG20262620	SAM24462143_NXG20262629	SAM24462144_NXG20262626	SAM24462145_NXG20262619	SAM24462146_NXG20262627
ENSMUSG00000110755	AC151971.2	-2.9688292408285	-2.50480328963873	-2.51608981626896	-2.22651980681337	-1.41830917952566	-0.234213214407039	-2.25288536004965	-1.27023546266622	-0.843157066386717	-1.34474539868265	-1.33675579369289	-0.339838919648434
ENSMUSG00000110768	AC160337.1	3.86694486449283	3.83079235150294	3.62328206452793	3.84742944889677	3.65684319099477	3.84277428807222	3.93653536356367	3.8261891645831	3.74420928310694	3.96753828607382	3.90801640970812	3.91346549203726
ENSMUSG00000110770	AC158622.1	0.640793274797666	0.616396081234444	0.749807199654638	1.26617524474318	0.443428705610115	-0.171091395090097	-0.596817765532075	-0.511579441525707	-0.244883484958958	0.141483841433496	-0.665277779670825	-0.211348597094897
ENSMUSG00000110803	AC156795.1	-2.9688292408285	-2.50480328963873	-2.9688292408285	-1.37497130540992	-1.99458367653003	-1.0894874181707	-1.1328122121378	-1.44700614922073	-0.328905295129707	-0.700439802675988	-0.827455320521636	-0.408646954004105
ENSMUSG00000110808	AC162938.1	0.852789131091249	0.661293351234775	0.973856695333692	0.850900799647455	0.824183714433925	-0.234213214407039	1.30266284152259	0.810057494653667	0.84699926385318	1.02433082295077	0.379639614751153	0.774104896175667
ENSMUSG00000110816	AC154699.1	-1.85824393639572	-2.50480328963873	-2.9688292408285	-1.54545066753591	-1.00763538109804	-1.2112097746098	-1.77656246073619	-2.16261676499131	-0.615044851023765	-0.506252203295845	-0.590549844407972	-0.211348597094897
ENSMUSG00000110834	CAAA01180111.2	-0.936180732748215	-0.400307106389415	-0.182612323168805	-1.54545066753591	-0.595879341080431	-0.684975503815643	-0.509947906406979	-0.4164531800231	-1.27162960617233	-1.05173434306927	-0.915936140575719	-0.722301574343643
ENSMUSG00000110841	AC153368.1	5.92346137426872	5.94310713795534	6.13709443977026	6.12128446625317	6.04896577947095	6.14976287636935	6.05494657700132	5.92370582212234	5.92283054614395	5.87614680210177	5.84846716072759	5.66888169727801
ENSMUSG00000110847	AC142407.1	0.219465074104898	-0.495658285560705	-0.345685245939811	-0.0828469538436593	0.257676855969664	-0.171091395090097	0.0434055491817097	-0.327213097429232	-0.0902328499928792	-0.111367570815291	-0.154012888539948	-0.480901804072346
ENSMUSG00000110867	AC157591.1	0.445455540022165	0.133445018721191	0.578430695208125	0.502718965490669	0.257676855969664	1.09956263470831	0.485299441827515	1.09475220244062	0.17676378048065	0.926772983602518	0.379639614751153	0.538566893921722
ENSMUSG00000110869	AC122901.1	0.729363398025659	1.45655148401338	2.04615576722181	1.50332213182475	1.37402920559402	0.754146043201223	1.43992075591035	-0.0169556256845329	1.41041724835822	0.198332278301725	0.452133376463577	1.22387235634139
ENSMUSG00000110882	AC155249.1	3.28585175897382	3.22264042476553	3.08099049155035	3.3481063007669	2.94197452801858	2.24135042313028	2.92532723113407	2.99433064003763	2.30737970941309	2.81630415327557	2.86156193639537	2.44988494749882
ENSMUSG00000110899	AC122305.1	0.966482666160477	0.828091874423692	0.623220823873907	0.158439677920261	0.207245564938139	1.17438292684473	0.15395777588874	0.810057494653667	0.453189273541905	0.356558437995503	0.0926938693977059	0.165209920817244
ENSMUSG00000110932	AC168266.1	2.06187838173727	1.96625739717042	2.17208038896081	2.01369648197717	2.4507069902904	2.29821976664266	2.03854744159261	1.53641562242467	1.71317095372282	0.926772983602518	1.65294673141741	1.54820359972485
ENSMUSG00000110935	AC138292.1	2.1765843529899	3.04768498137414	3.12058118934547	2.89392917055932	3.28364428499581	2.76968831693135	2.92532723113407	3.57156409088498	3.06821864586358	3.17608447286624	2.92023993848151	2.95332544476742
ENSMUSG00000110945	AC133650.1	0.966482666160477	1.14500346832913	1.07405466606197	0.706411112009033	2.16387149099349	2.08205816779788	2.09506858019542	1.67246661183182	2.1455643318829	1.33437958192386	2.0297646817515	1.52993467077251
ENSMUSG00000110949	Nudt8	0.685757918277394	1.11303875765969	1.28388863748454	0.265464290513828	1.25494714252886	1.19848489342597	1.39560339396934	1.35955316479599	0.80818906849009	0.785500460255988	1.4377395451493	1.20096138220311
ENSMUSG00000110960	AC153729.2	1.71668617909069	1.71262411244111	1.71479151962051	1.43617921947733	1.95050820759401	2.20612071207928	1.82122004494844	1.98278606608335	1.79484472657424	1.63133204957223	1.71318680584366	1.60166204836594
ENSMUSG00000110981	AC160966.1	-0.805975671722289	-0.597760260151512	-0.26184592146048	0.101794877070353	-1.77590828070715	-2.96882924082849	-2.9688292408285	-2.9688292408285	-1.88384345556263	-0.418154685216349	-1.75953905771814	-1.37583397972611
ENSMUSG00000110982	AC158355.1	-1.41683561043266	-1.25675543232091	-1.28543840109857	-1.73880880807372	-0.787117165306992	0.34299923696977	-1.99515459470301	0.0511999824012406	-1.27162960617233	-1.9393892305346	-1.75953905771814	-2.6035766020813
ENSMUSG00000110993	AC105958.1	-0.124221471908071	-0.0716745123804483	-0.345685245939811	0.587676809136951	-0.205910395872764	0.34299923696977	-0.140137484570884	0.552297717741316	0.348885324859262	-0.600081245789173	-0.665277779670825	-0.339838919648434
ENSMUSG00000110997	AC126804.1	-0.576268572572566	0.704835466427834	0.623220823873907	-0.220531552403525	0.92124070070358	0.878702610354999	0.305361788420005	0.116280518375507	1.43609992780111	-0.808305070954644	0.0466125966439737	0.1170689762518
ENSMUSG00000111012	CT010488.1	3.22622398573169	3.21513168355704	3.36433512394789	3.05923868203394	3.57468774184691	3.53261097421185	3.4105033898602	3.38608820281941	3.22376891035612	3.2585933337989	3.26018657619463	3.04623308238364
ENSMUSG00000111027	CT033761.1	3.14804715848893	2.77895065770189	3.0320013580724	3.12467085017165	2.22851335561216	2.29821976664266	2.22738204711531	2.9769141057302	2.16104813859681	2.55849274085403	2.5259451389792	2.11200824770808
ENSMUSG00000111047	AC156389.1	-0.936180732748215	-0.597760260151512	-0.434698970010142	0.0428348065561991	-0.275923710355938	0.00322311181876375	-0.350482492204842	-0.0884913759609884	-0.418124760369325	-0.506252203295845	-0.387114989655578	0.165209920817244
ENSMUSG00000111065	AC158238.1	-0.288455911628141	0.472658100938409	-0.107504661539651	-0.0828469538436593	-0.595879341080431	-0.873100210398963	-0.206902013238154	-0.723006935772064	-0.972339660022308	-2.53899664264208	-1.75953905771814	-2.31236549504683
